Triangle Name: 1, LED Numbers: [1, 2], Centre: [50.79847176608251, -13.119221632576398]
Triangle Name: 2, LED Numbers: [3, 4], Centre: [50.76948625883613, -13.093561632576396]
Triangle Name: 3, LED Numbers: [5, 6], Centre: [50.74050075158976, -13.119221632576398]
Triangle Name: 4, LED Numbers: [7, 8], Centre: [50.74050075158976, -13.170541632576397]
Triangle Name: 5, LED Numbers: [9, 10], Centre: [50.76948625883613, -13.196201632576399]
Triangle Name: 6, LED Numbers: [11, 12], Centre: [50.79847176608251, -13.1705416325764]
Triangle Name: 7, LED Numbers: [13, 14], Centre: [50.85644278057526, -13.119221632576398]
Triangle Name: 8, LED Numbers: [15, 16], Centre: [50.82745727332888, -13.093561632576396]
Triangle Name: 9, LED Numbers: [17, 18], Centre: [50.82745727332888, -13.196201632576399]
Triangle Name: 10, LED Numbers: [19, 20], Centre: [50.85644278057526, -13.1705416325764]
Triangle Name: 11, LED Numbers: [21, 22], Centre: [50.82745727332888, -13.042241632576397]
Triangle Name: 12, LED Numbers: [23, 24], Centre: [50.79847176608251, -13.016581632576397]
Triangle Name: 13, LED Numbers: [25, 26], Centre: [50.76948625883613, -13.042241632576397]
Triangle Name: 14, LED Numbers: [27, 28], Centre: [50.74050075158976, -13.016581632576397]
Triangle Name: 15, LED Numbers: [29, 30], Centre: [50.71151524434338, -13.042241632576397]
Triangle Name: 16, LED Numbers: [31, 32], Centre: [50.71151524434338, -13.093561632576398]
Triangle Name: 17, LED Numbers: [33, 34], Centre: [50.682529737097006, -13.119221632576398]
Triangle Name: 18, LED Numbers: [35, 36], Centre: [50.682529737097006, -13.170541632576397]
Triangle Name: 19, LED Numbers: [37, 38], Centre: [50.71151524434338, -13.196201632576399]
Triangle Name: 20, LED Numbers: [39, 40], Centre: [50.71151524434338, -13.2475216325764]
Triangle Name: 21, LED Numbers: [41, 42], Centre: [50.74050075158976, -13.273181632576398]
Triangle Name: 22, LED Numbers: [43, 44], Centre: [50.76948625883613, -13.2475216325764]
Triangle Name: 23, LED Numbers: [45, 46], Centre: [50.79847176608251, -13.273181632576398]
Triangle Name: 24, LED Numbers: [47, 48], Centre: [50.82745727332888, -13.2475216325764]
Triangle Name: 25, LED Numbers: [49, 50], Centre: [50.91441379506801, -13.119221632576398]
Triangle Name: 26, LED Numbers: [51, 52], Centre: [50.88542828782163, -13.093561632576396]
Triangle Name: 27, LED Numbers: [53, 54], Centre: [50.88542828782163, -13.196201632576399]
Triangle Name: 28, LED Numbers: [55, 56], Centre: [50.91441379506801, -13.1705416325764]
Triangle Name: 29, LED Numbers: [57, 58], Centre: [50.88542828782163, -13.042241632576397]
Triangle Name: 30, LED Numbers: [59, 60], Centre: [50.85644278057526, -13.016581632576397]
Triangle Name: 31, LED Numbers: [61, 62], Centre: [50.85644278057526, -13.273181632576398]
Triangle Name: 32, LED Numbers: [63, 64], Centre: [50.88542828782163, -13.2475216325764]
Triangle Name: 33, LED Numbers: [65, 66], Centre: [50.85644278057526, -12.965261632576395]
Triangle Name: 34, LED Numbers: [67, 68], Centre: [50.82745727332888, -12.939601632576396]
Triangle Name: 35, LED Numbers: [69, 70], Centre: [50.79847176608251, -12.965261632576395]
Triangle Name: 36, LED Numbers: [71, 72], Centre: [50.76948625883613, -12.939601632576396]
Triangle Name: 37, LED Numbers: [73, 74], Centre: [50.74050075158976, -12.965261632576395]
Triangle Name: 38, LED Numbers: [75, 76], Centre: [50.71151524434338, -12.939601632576396]
Triangle Name: 39, LED Numbers: [77, 78], Centre: [50.682529737097006, -12.965261632576395]
Triangle Name: 40, LED Numbers: [79, 80], Centre: [50.682529737097006, -13.016581632576397]
Triangle Name: 41, LED Numbers: [81, 82], Centre: [50.65354422985063, -13.042241632576397]
